Name,AATSC5e,MATS5e,JGI9,JGI10,IC50,FP169,FP204,FP339,FP396,FP490,FP551,FP582,FP606,ExtFP79,ExtFP442,ExtFP584,ExtFP700,ExtFP1010,ExtFP1019,GraphFP158,GraphFP504,GraphFP622,GraphFP762,GraphFP860,GraphFP906,GraphFP1007,MACCSFP26,MACCSFP150,SubFP147,KRFP349,KRFP360,KRFP364,KRFP397,KRFP607,KRFP1538,KRFP2135,KRFP3940,KRFPC349,KRFPC2135,KRFPC2694,KRFPC3139,KRFPC3520,KRFPC4292,PIC50,
anti_NIV_035,0.012738041,0.227964847,0.006051838,0.006200208,2.51E-06,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,
anti_NIV_036,0.011809573,0.185052082,0.009604938,0.00572411,2.57E-06,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,
anti_NIV_037,-0.005646887,-0.130872319,0.009183286,0.006360122,2.63E-06,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58,
anti_NIV_038,-0.001068619,-0.009105422,0.009303466,0.007611848,3.02E-06,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,
anti_NIV_039,0.001332738,0.012144763,0.009322917,0.006752558,3.02E-06,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,
anti_NIV_040,-0.002466686,-0.078931317,0,0,3.47E-06,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,
anti_NIV_041,-0.002141164,-0.036850768,0.011,0.008847494,3.80E-06,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.42,
anti_NIV_042,-0.01468603,-0.198663712,0.005078318,0.004905039,3.89E-06,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,
anti_NIV_043,-0.001598418,-0.013263033,0.009303466,0.007611848,3.98E-06,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,
anti_NIV_044,-0.00818012,-0.052524805,0,0,4.17E-06,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,
anti_NIV_045,-9.55E-04,-0.01286363,0.010328521,0.007371321,5.25E-06,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,
anti_NIV_046,-0.00790002,-0.097393386,0.017142857,0,6.03E-06,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,
anti_NIV_047,-0.007769563,-0.103679505,0.006410577,0.007804027,6.17E-06,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,
anti_NIV_048,-0.003229876,-0.068118212,0.002644231,0.003185616,6.92E-06,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.16,
anti_NIV_049,-0.002619601,-0.073245085,0.004456522,0.00288746,7.08E-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,
anti_NIV_050,-0.002743147,-0.064839352,0.00672619,0.007168978,7.59E-06,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,
anti_NIV_051,-0.026278214,-0.254572183,0.009664903,0.00861157,7.76E-06,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,
anti_NIV_052,-0.001339238,-0.007731715,0.006682692,0.006601367,7.94E-06,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.1,
anti_NIV_053,-0.038091886,-0.237330661,0,0,7.94E-06,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,
anti_NIV_054,-8.87E-06,-1.70E-04,0.0075,0.012345679,7.94E-06,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,
anti_NIV_055,0.005485348,0.034097592,0.007519772,0.005881033,1.17E-05,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,
